user_id,first_name,last_name,age,city,reg_date,plan,churn_date,total_calls,total_call_duration,total_internet_sessions,total_mb_used,total_messages,messages_included,mb_per_month_included,minutes_included,usd_monthly_pay,usd_per_gb,usd_per_message,usd_per_minute,plan_name,total_minutes_used,total_sms,total_mb,extra_usage,log_total_calls,log_total_mb_used,log_total_messages,total_calls_scaled,total_mb_scaled,total_messages_scaled,region
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,Activo,15.0,110.98,5.0,1901.47,11.0,1000,30720,3000,70,7,0.01,0.01,ultimate,1664.7,11.0,1901.47,-28818.53,2.772588722239781,7.550908320886152,2.4849066497880004,1.0,0.20351792409512567,0.7333333333333333,"Atlanta-Sandy Springs-Roswell, GA MSA"
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,Activo,4.0,13.46,4.0,1724.33,4.0,50,15360,500,20,10,0.03,0.03,surf,53.84,4.0,1724.33,-13635.67,1.6094379124341003,7.453173615516943,1.6094379124341003,0.26666666666666666,0.1845582954529643,0.26666666666666666,"Seattle-Tacoma-Bellevue, WA MSA"
1002,Carlee,Hoffman,36,"Las Vegas-Henderson-Paradise, NV MSA",2018-10-21,surf,Activo,7.0,22.31,7.0,1646.11,5.0,50,15360,500,20,10,0.03,0.03,surf,156.17,5.0,1646.11,-13713.89,2.0794415416798357,7.406777516046989,1.791759469228055,0.4666666666666667,0.1761862611727912,0.3333333333333333,"Las Vegas-Henderson-Paradise, NV MSA"
1003,Reynaldo,Jenkins,52,"Tulsa, OK MSA",2018-01-28,surf,Activo,15.0,84.56,15.0,6135.25,15.0,50,15360,500,20,10,0.03,0.03,surf,1268.4,15.0,6135.25,-9224.75,2.772588722239781,8.721969085372262,2.772588722239781,1.0,0.6566673909157755,1.0,"Tulsa, OK MSA"
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,Activo,1.0,11.08,2.0,497.08,3.0,50,15360,500,20,10,0.03,0.03,surf,11.08,3.0,497.08,-14862.92,0.6931471805599453,6.210760706693298,1.3862943611198906,0.06666666666666667,0.05320341089220711,0.2,"Seattle-Tacoma-Bellevue, WA MSA"
1005,Livia,Shields,31,"Dallas-Fort Worth-Arlington, TX MSA",2018-11-29,surf,Activo,15.0,116.4,15.0,4827.65,11.0,50,15360,500,20,10,0.03,0.03,surf,1746.0,11.0,4827.65,-10532.35,2.772588722239781,8.482322204472755,2.4849066497880004,1.0,0.516712494153383,0.7333333333333333,"Dallas-Fort Worth-Arlington, TX MSA"
1006,Jesusa,Bradford,73,"San Francisco-Oakland-Berkeley, CA MSA",2018-11-27,ultimate,2018-12-18,9.0,54.79,15.0,6133.593701025518,15.0,1000,30720,3000,70,7,0.01,0.01,ultimate,493.11,15.0,6133.593701025518,-24586.40629897448,2.302585092994046,8.721699128550238,2.772588722239781,0.6,0.6564901141094271,1.0,"San Francisco-Oakland-Berkeley, CA MSA"
1007,Eusebio,Welch,42,"Grand Rapids-Kentwood, MI MSA",2018-07-11,surf,Activo,4.0,37.83,5.0,2494.37,4.0,50,15360,500,20,10,0.03,0.03,surf,151.32,4.0,2494.37,-12865.630000000001,1.6094379124341003,7.822192293783953,1.6094379124341003,0.26666666666666666,0.2669771304964888,0.26666666666666666,"Grand Rapids-Kentwood, MI MSA"
1008,Emely,Hoffman,53,"Orlando-Kissimmee-Sanford, FL MSA",2018-08-03,ultimate,Activo,6.0,52.48,4.0,1244.37,4.0,1000,30720,3000,70,7,0.01,0.01,ultimate,314.88,4.0,1244.37,-29475.63,1.9459101490553132,7.1271879535019975,1.6094379124341003,0.4,0.13318727048349513,0.26666666666666666,"Orlando-Kissimmee-Sanford, FL MSA"
1009,Gerry,Little,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",2018-04-22,surf,Activo,4.0,23.86,2.0,769.9100000000001,0.0,50,15360,500,20,10,0.03,0.03,surf,95.44,0.0,769.9100000000001,-14590.09,1.6094379124341003,6.647571635232166,0.0,0.26666666666666666,0.08240492089808317,0.0,"San Jose-Sunnyvale-Santa Clara, CA MSA"
1010,Wilber,Blair,52,"Dallas-Fort Worth-Arlington, TX MSA",2018-03-09,surf,Activo,0.0,0.0,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,0.0,-15360.0,0.0,0.0,0.0,0.0,0.0,0.0,"Dallas-Fort Worth-Arlington, TX MSA"
1011,Halina,Henry,73,"Cleveland-Elyria, OH MSA",2018-01-18,ultimate,Activo,3.0,14.15,1.0,0.0,3.0,1000,30720,3000,70,7,0.01,0.01,ultimate,42.45,3.0,0.0,-30720.0,1.3862943611198906,0.0,1.3862943611198906,0.2,0.0,0.2,"Cleveland-Elyria, OH MSA"
1012,Jonelle,Mcbride,59,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2018-06-28,surf,2018-11-16,11.0,42.81,9.0,3183.32,0.0,50,15360,500,20,10,0.03,0.03,surf,470.91,0.0,3183.32,-12176.68,2.4849066497880004,8.065994044426798,0.0,0.7333333333333333,0.34071674974125044,0.0,"Chicago-Naperville-Elgin, IL-IN-WI MSA"
1013,Nicolas,Snider,50,"Knoxville, TN MSA",2018-12-01,ultimate,Activo,15.0,104.16,15.0,4259.93,15.0,1000,30720,3000,70,7,0.01,0.01,ultimate,1562.3999999999999,15.0,4259.93,-26460.07,2.772588722239781,8.357242725296441,2.772588722239781,1.0,0.45594835069212175,1.0,"Knoxville, TN MSA"
1014,Edmundo,Simon,61,"New York-Newark-Jersey City, NY-NJ-PA MSA",2018-11-25,surf,Activo,13.0,98.81,15.0,6360.39,12.0,50,15360,500,20,10,0.03,0.03,surf,1284.53,12.0,6360.39,-8999.61,2.6390573296152584,8.75800218591396,2.5649493574615367,0.8666666666666667,0.6807645501824359,0.8,"New York-Newark-Jersey City, NY-NJ-PA MSA"
1015,Beata,Carpenter,26,"Pittsburgh, PA MSA",2018-12-05,surf,Activo,15.0,87.73,15.0,5023.19,15.0,50,15360,500,20,10,0.03,0.03,surf,1315.95,15.0,5023.19,-10336.810000000001,2.772588722239781,8.522019525904271,2.772588722239781,1.0,0.5376415095349357,1.0,"Pittsburgh, PA MSA"
1016,Jann,Salinas,30,"Fresno, CA MSA",2018-10-25,surf,Activo,11.0,69.26,5.0,1225.08,6.0,50,15360,500,20,10,0.03,0.03,surf,761.86,6.0,1225.08,-14134.92,2.4849066497880004,7.111577367222094,1.9459101490553132,0.7333333333333333,0.13112262536377461,0.4,"Fresno, CA MSA"
1017,Boris,Gates,61,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2018-08-26,surf,Activo,5.0,53.45,2.0,420.56,4.0,50,15360,500,20,10,0.03,0.03,surf,267.25,4.0,420.56,-14939.44,1.791759469228055,6.043962116065736,1.6094379124341003,0.3333333333333333,0.045013330821651695,0.26666666666666666,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
1018,Dennis,Grimes,70,"Indianapolis-Carmel-Anderson, IN MSA",2018-10-17,surf,Activo,5.0,28.06,6.0,1350.6,7.0,50,15360,500,20,10,0.03,0.03,surf,140.29999999999998,7.0,1350.6,-14009.4,1.791759469228055,7.209044354840135,2.0794415416798357,0.3333333333333333,0.1445572679468394,0.4666666666666667,"Indianapolis-Carmel-Anderson, IN MSA"
1019,Shizue,Landry,34,"Jacksonville, FL MSA",2018-01-16,surf,Activo,13.0,118.8,11.0,4197.15,14.0,50,15360,500,20,10,0.03,0.03,surf,1544.3999999999999,14.0,4197.15,-11162.85,2.6390573296152584,8.34239923104285,2.70805020110221,0.8666666666666667,0.44922888876282907,0.9333333333333333,"Jacksonville, FL MSA"
1020,Rutha,Bell,56,"Dallas-Fort Worth-Arlington, TX MSA",2018-11-08,surf,Activo,10.0,79.76,5.0,1069.57,3.0,50,15360,500,20,10,0.03,0.03,surf,797.6,3.0,1069.57,-14290.43,2.3978952727983707,6.975946495896575,1.3862943611198906,0.6666666666666666,0.1144780964592781,0.2,"Dallas-Fort Worth-Arlington, TX MSA"
1021,Ricarda,Booker,37,"Los Angeles-Long Beach-Anaheim, CA MSA",2018-12-21,surf,Activo,15.0,93.94,15.0,5085.563701025519,0.0,50,15360,500,20,10,0.03,0.03,surf,1409.1,0.0,5085.563701025519,-10274.43629897448,2.772588722239781,8.534357773703112,0.0,1.0,0.544317484517893,0.0,"Los Angeles-Long Beach-Anaheim, CA MSA"
